Ｍ,日付,開催,レース名,馬名S,Ｃ,性別,年齢,騎手,斤量,頭数,馬印,レース印１,人気,着順,距離,馬場状態,着差,2角,3角,4角,上り3F,間隔,前走開催,前走レース名,前芝・ダ,前距離,前走馬場状態,前走人気,前走着順,前2角,前3角,前4角,前走上り3F,替,前騎手,前走斤量,前走頭数,前走馬番,前走走破タイム,前走着差タイム,前走馬印,前走馬印2,前走馬印3,前走馬印4,前走レース印１,前走日付
,230408,3中5,ニュージG2,ミシシッピテソーロ,,牝,3,柴田大知, 54 ,16,"  ",,14,５,芝1600,稍,0.5,12,13,12,35.4,8,1東5,クイーンG3,芝,1600,稍,8,15,,5,5,37.1,*,戸崎圭太, 54 ,16,16,1356, 2.5,"  ","  ","  ","  ",,230211
,230408,3中5,ニュージG2,ルミノメテオール,,牝,3,横山武史, 54 ,16,"  ",,4,６,芝1600,稍,0.5,6,6,8,35.9,5,1阪7,チューリG2,芝,1600,良,3,４,,3,3,34.0,*,Ｍ．デム, 54 ,17,3,1341, 0.1,"  ","  ","  ","  ",,230304
,230408,3中5,ニュージG2,ドルチェモア,,牡,3,横山和生, 56 ,16,"  ",,1,７,芝1600,稍,0.6,1,1,1,36.6,16,6阪6,フューチG1,芝,1600,良,1,１,,3,3,35.8,*,坂井瑠星, 55 ,17,2,1339,-0.1,"  ","  ","  ","  ",,221218
,230408,3中5,ニュージG2,ジョウショーホープ,,牡,3,荻野極, 56 ,16,"  ",,13,８,芝1600,稍,0.6,4,4,4,36.2,3,2中8,スプリンG2,芝,1800,重,9,13,11,11,12,36.8,*,石川裕紀, 56 ,16,6,1505, 1.6,"  ","  ","  ","  ",,230319
,230408,3中5,ニュージG2,エイシンエイト,,牝,3,津村明秀, 54 ,16,"  ",,16,９,芝1600,稍,0.7,12,10,8,35.8,3,船橋,弥生ス,ダ,1200,良,7,12,1,1,1,,*,山崎誠士, 55 ,12,3,1204, 3.6,"  ","  ","  ","  ",,230316
,230408,3中5,ニュージG2,シーウィザード,,牡,3,武豊, 56 ,16,"  ",,10,10,芝1600,稍,0.8,15,16,15,35.4,3,2中8,スプリンG2,芝,1800,重,12,10,16,16,14,35.7,*,柴田善臣, 56 ,16,12,1498, 0.9,"  ","  ","  ","  ",,230319
,230408,3中5,ニュージG2,メイクアスナッチ,,牝,3,戸崎圭太, 54 ,16,"  ",,6,11,芝1600,稍,0.8,9,6,8,36.2,13,1中4,フェアリG3,芝,1600,良,7,２,13,10,9,35.3,,戸崎圭太, 54 ,16,10,1343, 0.0,"  ","  ","  ","  ",,230109
,230408,3中5,ニュージG2,バグラダス,,牡,3,三浦皇成, 56 ,16,"  ",,9,12,芝1600,稍,1.0,2,2,2,37.0,3,2名3,ファルコG3,芝,1400,重,3,７,,7,7,36.1,*,菅原明良, 56 ,14,5,1235, 0.9,"  ","  ","  ","  ",,230318
,230408,3中5,ニュージG2,ミスヨコハマ,,牝,3,石橋脩, 54 ,16,"  ",,15,13,芝1600,稍,1.1,14,13,12,36.0,4,2中6,アネモネ(L),芝,1600,良,4,10,7,10,8,35.1,*,菅原明良, 54 ,16,7,1345, 0.7,"  ","  ","  ","  ",,230312
,230408,3中5,ニュージG2,オマツリオトコ,,牡,3,永野猛蔵, 56 ,16,"  ",,12,14,芝1600,稍,1.4,9,10,12,36.5,7,1東8,ヒヤシン(L),ダ,1600,良,3,13,,6,6,39.1,*,横山武史, 58 ,14,7,1401, 2.9,"  ","  ","  ","  ",,230219
,230408,3中5,ニュージG2,サンライズジーク,,牡,3,坂井瑠星, 56 ,16,"  ",,8,15,芝1600,稍,2.3,2,4,4,37.9,8,1東6,１勝ｸﾗｽ*,ダ,1600,重,4,１,,3,3,37.0,*,Ｍ．デム, 56 ,15,14,1355,-0.2,"  ","  ","  ","  ",,230212
,230408,3中5,ニュージG2,ロードディフィート,,牡,3,田辺裕信, 56 ,16,"  ",,11,16,芝1600,稍,3.2,16,15,16,38.0,3,2中7,１勝ｸﾗｽ*,芝,1600,重,7,１,7,7,7,36.5,,田辺裕信, 56 ,12,5,1367,-0.0,"  ","  ","  ","  ",,230318
,220409,3中5,ニュージG2,ジャングロ,,牡,3,武豊, 56 ,11,"  ",,3,１,芝1600,良,-0.0,1,1,1,34.7,6,1阪6,マーガレ(L),芝,1200,良,1,１,,4,4,34.4,,武豊, 56 ,13,7,1080,-0.2,"  ","  ","  ","  ",,220227
,220409,3中5,ニュージG2,マテンロウオリオン,,牡,3,横山典弘, 56 ,11,"  ",,1,２,芝1600,良,0.0,5,5,7,34.1,13,1名3,シンザンG3,芝,1600,良,4,１,3,4,3,34.9,,横山典弘, 56 ,15,10,1341,-0.0,"  ","  ","  ","  ",,220109
,220409,3中5,ニュージG2,リューベック,,牡,3,吉田隼人, 56 ,11,"  ",,6,３,芝1600,良,0.3,5,4,4,34.6,5,2中4,弥生賞G2,芝,2000,良,10,６,1,1,1,35.8,*,池添謙一, 56 ,11,3,2011, 0.6,"  ","  ","  ","  ",,220306
,220409,3中5,ニュージG2,エンペザー,,牡,3,坂井瑠星, 56 ,11,"  ",,7,４,芝1600,良,0.5,2,2,2,35.0,3,2名4,フローラ･1勝,芝,1600,良,2,１,2,2,2,34.3,*,吉田隼人, 56 ,10,9,1351,-0.2,"  ","  ","  ","  ",,220321
,220409,3中5,ニュージG2,ティーガーデン,,牡,3,ルメール, 56 ,11,"  ",,2,５,芝1600,良,0.8,9,8,5,34.8,3,2名3,ファルコG3,芝,1400,稍,3,８,,13,16,36.1,*,横山武史, 56 ,18,16,1218, 0.9,"  ","  ","  ","  ",,220319
,220409,3中5,ニュージG2,エイシンシュトルム,,牡,3,石川裕紀, 56 ,11,"  ",,10,６,芝1600,良,0.8,8,9,8,34.7,3,2名3,ファルコG3,芝,1400,稍,17,９,,16,13,36.3,,石川裕紀, 56 ,18,9,1218, 0.9,"  ","  ","  ","  ",,220319
