データ順番号,日付,曜日,開催,Ｒ,レース名,重量種別,限定,馬名S,Ｃ,性別,年齢,騎手,斤量,ブリンカー,頭数,馬印,レース印１,人気,着順,距離,馬場状態,着差,2角,3角,4角,上り3F,上3F地点差,馬体重,馬体重増減,多頭出し,所属,調教師,種牡馬,母父馬
35,230408,土,3中5,11,ニュージG2,馬齢,国,ミシシッピテソーロ,,牝,3,柴田大知, 54 ,,16,"  ",,14,５,芝1600,稍,0.5,12,13,12,35.4,1.1,412,-6,,(美),畠山吉宏,ダノンバラード,"A.P. Indy"
36,230408,土,3中5,11,ニュージG2,馬齢,国,ルミノメテオール,,牝,3,横山武史, 54 ,,16,"  ",,4,６,芝1600,稍,0.5,6,6,8,35.9,0.6,446,0,,(美),金成貴史,エピファネイア,フォーティナイナー
37,230408,土,3中5,11,ニュージG2,馬齢,国,ドルチェモア,,牡,3,横山和生, 56 ,,16,"  ",,1,７,芝1600,稍,0.6,1,1,1,36.6,0.0,482,+8,,(栗),須貝尚介,ルーラーシップ,ディープインパクト
38,230408,土,3中5,11,ニュージG2,馬齢,国,ジョウショーホープ,,牡,3,荻野極, 56 ,,16,"  ",,13,８,芝1600,稍,0.6,4,4,4,36.2,0.4,458,-6,,(栗),新谷功一,ミッキーロケット,アグネスデジタル
39,230408,土,3中5,11,ニュージG2,馬齢,国,エイシンエイト,,牝,3,津村明秀, 54 ,,16,"  ",,16,９,芝1600,稍,0.7,12,10,8,35.8,0.9,482,-3,*,(美),田中剛,エーシントップ,ハーツクライ
40,230408,土,3中5,11,ニュージG2,馬齢,国,シーウィザード,,牡,3,武豊, 56 ,,16,"  ",,10,10,芝1600,稍,0.8,15,16,15,35.4,1.4,474,-4,,(美),鹿戸雄一,ビーチパトロール,メジロベイリー
41,230408,土,3中5,11,ニュージG2,馬齢,国,メイクアスナッチ,,牝,3,戸崎圭太, 54 ,,16,"  ",,6,11,芝1600,稍,0.8,9,6,8,36.2,0.6,432,-4,,(美),武市康男,ルーラーシップ,ディープインパクト
42,230408,土,3中5,11,ニュージG2,馬齢,国,バグラダス,,牡,3,三浦皇成, 56 ,,16,"  ",,9,12,芝1600,稍,1.0,2,2,2,37.0,0.0,476,-4,,(美),嘉藤貴行,マジェスティックウォリアー,ディープインパクト
43,230408,土,3中5,11,ニュージG2,馬齢,国,ミスヨコハマ,,牝,3,石橋脩, 54 ,,16,"  ",,15,13,芝1600,稍,1.1,14,13,12,36.0,1.1,456,-8,,(美),斎藤誠,カレンブラックヒル,Blame
44,230408,土,3中5,11,ニュージG2,馬齢,国,オマツリオトコ,,牡,3,永野猛蔵, 56 ,,16,"  ",,12,14,芝1600,稍,1.4,9,10,12,36.5,0.9,482,-2,,(美),伊藤圭三,ヴィットリオドーロ,スマートボーイ
