Ｍ,日付,レース名,馬名S,Ｃ,性別,年齢,人気,着順,間隔,頭数,開催,距離,馬場状態,2角,3角,4角,前走開催,前芝・ダ,前距離,前走馬場状態,前2角,前3角,前4角,前走人気,前走着順,前走着差タイム,前クラス名,騎手,前騎手,馬体重,馬体重増減,前走馬体重増減,斤量,前走斤量,ブリンカー,前走B,馬印,前走馬印,馬印2,前走馬印2,馬印3,前走馬印3,馬印4,前走馬印4,多頭出し,所属,調教師,前走日付,前走レース名
,230408,ニュージG2,エエヤン,,牡,3,2,１,6,16,3中5,芝1600,稍,4,2,3,2中2,芝,1600,良,2,2,1,1,１,-0.5,1勝,Ｍ．デム,Ｍ．デム,482,-10,-8, 56 , 56 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(美),伊藤大士,230226,１勝ｸﾗｽ*
,230408,ニュージG2,ウンブライル,,牝,3,5,２,8,16,3中5,芝1600,稍,9,10,8,1東5,芝,1600,稍,,9,9,1,６, 0.3,Ｇ３,ルメール,ルメール,472,-6,+12, 54 , 54 ,B,,"  ","  ","  ","  ","  ","  ","  ","  ",,(美),木村哲也,230211,クイーンG3
,230408,ニュージG2,シャンパンカラー,,牡,3,7,３,12,16,3中5,芝1600,稍,6,6,4,1中6,芝,2000,良,2,2,2,3,６, 0.8,Ｇ３,内田博幸,戸崎圭太,504,+2,0, 56 , 56 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",*,(美),田中剛,230115,京成杯G3
,230408,ニュージG2,モリアーナ,,牝,3,3,４,8,16,3中5,芝1600,稍,6,9,4,1東5,芝,1600,稍,,12,11,3,３, 0.0,Ｇ３,武藤雅,武藤雅,468,-6,-2, 54 , 54 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(美),武藤善則,230211,クイーンG3
,230408,ニュージG2,ミシシッピテソーロ,,牝,3,14,５,8,16,3中5,芝1600,稍,12,13,12,1東5,芝,1600,稍,,5,5,8,15, 2.5,Ｇ３,柴田大知,戸崎圭太,412,-6,-6, 54 , 54 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(美),畠山吉宏,230211,クイーンG3
,230408,ニュージG2,ルミノメテオール,,牝,3,4,６,5,16,3中5,芝1600,稍,6,6,8,1阪7,芝,1600,良,,3,3,3,４, 0.1,Ｇ２,横山武史,Ｍ．デム,446,0,+4, 54 , 54 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(美),金成貴史,230304,チューリG2
,230408,ニュージG2,ドルチェモア,,牡,3,1,７,16,16,3中5,芝1600,稍,1,1,1,6阪6,芝,1600,良,,3,3,1,１,-0.1,Ｇ１,横山和生,坂井瑠星,482,+8,+2, 56 , 55 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),須貝尚介,221218,フューチG1
,230408,ニュージG2,ジョウショーホープ,,牡,3,13,８,3,16,3中5,芝1600,稍,4,4,4,2中8,芝,1800,重,11,11,12,9,13, 1.6,Ｇ２,荻野極,石川裕紀,458,-6,+4, 56 , 56 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),新谷功一,230319,スプリンG2
,230408,ニュージG2,エイシンエイト,,牝,3,16,９,3,16,3中5,芝1600,稍,12,10,8,船橋,ダ,1200,良,1,1,1,7,12, 3.6,(不明),津村明秀,山崎誠士,482,-3,-4, 54 , 55 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",*,(美),田中剛,230316,弥生ス
,230408,ニュージG2,シーウィザード,,牡,3,10,10,3,16,3中5,芝1600,稍,15,16,15,2中8,芝,1800,重,16,16,14,12,10, 0.9,Ｇ２,武豊,柴田善臣,474,-4,+4, 56 , 56 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(美),鹿戸雄一,230319,スプリンG2
