データ順番号,日付,曜日,開催,Ｒ,レース名,重量種別,限定,馬名S,Ｃ,性別,年齢,騎手,斤量,ブリンカー,頭数,馬印,レース印１,人気,着順,距離,馬場状態,着差,2角,3角,4角,上り3F,上3F地点差,馬体重,馬体重増減,多頭出し,所属,調教師,種牡馬,母父馬
40,230409,日,2阪6,11,桜花賞G1,定量,国,ハーパー,,牝,3,ルメール, 55 ,,18,"  ",,3,４,芝1600,良,0.5,,6,6,34.2,0.8,462,-4,,(栗),友道康夫,ハーツクライ,"Jump Start"
41,230409,日,2阪6,11,桜花賞G1,定量,国,ドゥアイズ,,牝,3,吉田隼人, 55 ,,18,"  ",,4,５,芝1600,良,0.6,,9,8,34.1,1.0,448,+2,,(栗),庄野靖志,ルーラーシップ,ディープインパクト
42,230409,日,2阪6,11,桜花賞G1,定量,国,シンリョクカ,,牝,3,吉田豊, 55 ,,18,"  ",,9,６,芝1600,良,0.6,,11,11,33.8,1.3,434,-6,,(美),竹内正洋,サトノダイヤモンド,キングカメハメハ
43,230409,日,2阪6,11,桜花賞G1,定量,国,シングザットソング,,牝,3,岩田望来, 55 ,,18,"  ",,11,７,芝1600,良,0.8,,4,4,34.7,0.6,432,-4,,(栗),高野友和,ドゥラメンテ,"My Golden Song"
44,230409,日,2阪6,11,桜花賞G1,定量,国,ライトクオンタム,,牝,3,武豊, 55 ,,18,"  ",,2,８,芝1600,良,0.8,,8,8,34.3,1.0,428,0,,(栗),武幸四郎,ディープインパクト,"Quality Road"
45,230409,日,2阪6,11,桜花賞G1,定量,国,ブトンドール,,牝,3,池添謙一, 55 ,,18,"  ",,16,９,芝1600,良,0.8,,6,6,34.5,0.8,486,-8,,(栗),池添学,ビッグアーサー,スウィフトカレント
46,230409,日,2阪6,11,桜花賞G1,定量,国,エミュー,,牝,3,松山弘平, 55 ,,18,"  ",,15,10,芝1600,良,0.8,,13,12,33.9,1.4,418,+4,,(美),和田正一,ハービンジャー,スペシャルウィーク
47,230409,日,2阪6,11,桜花賞G1,定量,国,ラヴェル,,牝,3,坂井瑠星, 55 ,,18,"  ",,10,11,芝1600,良,0.9,,13,15,33.9,1.5,446,-2,,(栗),矢作芳人,キタサンブラック,ダイワメジャー
48,230409,日,2阪6,11,桜花賞G1,定量,国,キタウイング,,牝,3,杉原誠人, 55 ,,18,"  ",,12,12,芝1600,良,0.9,,16,17,33.6,1.8,432,0,,(美),小島茂之,ダノンバラード,アイルハヴアナザー
49,230409,日,2阪6,11,桜花賞G1,定量,国,モズメイメイ,,牝,3,和田竜二, 55 ,,18,"  ",,7,13,芝1600,良,1.1,,1,1,35.6,0.0,456,0,,(栗),音無秀孝,リアルインパクト,Frankel
50,230409,日,2阪6,11,桜花賞G1,定量,国,ドゥーラ,,牝,3,戸崎圭太, 55 ,,18,"  ",,8,14,芝1600,良,1.1,,16,12,34.2,1.4,472,-4,,(栗),高橋康之,ドゥラメンテ,キングヘイロー
51,230409,日,2阪6,11,桜花賞G1,定量,国,コンクシェル,,牝,3,丸山元気, 55 ,B,18,"  ",,14,15,芝1600,良,1.2,,9,8,34.6,1.1,454,+2,*,(栗),清水久詞,キズナ,Galileo
52,230409,日,2阪6,11,桜花賞G1,定量,国,ジューンオレンジ,,牝,3,富田暁, 55 ,,18,"  ",,18,16,芝1600,良,1.3,,16,17,33.9,1.9,440,-6,,(栗),長谷川浩,ジャスタウェイ,シンボリクリスエス
53,230409,日,2阪6,11,桜花賞G1,定量,国,ムーンプローブ,,牝,3,北村友一, 55 ,,18,"  ",,17,17,芝1600,良,1.8,,11,12,34.9,1.4,472,+8,,(栗),上村洋行,モーリス,フジキセキ
54,230409,日,2阪6,11,桜花賞G1,定量,国,トーセンローリエ,,牝,3,横山和生, 55 ,,18,"  ",,13,18,芝1600,良,2.3,,2,3,36.4,0.4,424,-2,,(美),小笠倫弘,サトノクラウン,メイショウサムソン
55,220410,日,2阪6,11,桜花賞G1,定量,国,スターズオンアース,,牝,3,川田将雅, 55 ,,18,"  ",,7,１,芝1600,良,-0.0,,10,9,33.5,0.6,470,-4,,(美),高柳瑞樹,ドゥラメンテ,"Smart Strike"
56,220410,日,2阪6,11,桜花賞G1,定量,国,ウォーターナビレラ,,牝,3,武豊, 55 ,,18,"  ",,3,２,芝1600,良,0.0,,2,2,34.0,0.1,464,-14,,(栗),武幸四郎,シルバーステート,キングヘイロー
57,220410,日,2阪6,11,桜花賞G1,定量,国,ナムラクレア,,牝,3,浜中俊, 55 ,,18,"  ",,6,３,芝1600,良,0.1,,4,4,33.9,0.3,462,-4,,(栗),長谷川浩,ミッキーアイル,"Storm Cat"
58,220410,日,2阪6,11,桜花賞G1,定量,国,サークルオブライフ,,牝,3,Ｍ．デム, 55 ,,18,"  ",,2,４,芝1600,良,0.1,,13,15,33.3,0.9,482,+6,,(美),国枝栄,エピファネイア,アドマイヤジャパン
