Ｍ,日付,レース名,馬名S,Ｃ,性別,年齢,人気,着順,間隔,頭数,開催,距離,馬場状態,2角,3角,4角,前走開催,前芝・ダ,前距離,前走馬場状態,前2角,前3角,前4角,前走人気,前走着順,前走着差タイム,前クラス名,騎手,前騎手,馬体重,馬体重増減,前走馬体重増減,斤量,前走斤量,ブリンカー,前走B,馬印,前走馬印,馬印2,前走馬印2,馬印3,前走馬印3,馬印4,前走馬印4,多頭出し,所属,調教師,前走日付,前走レース名
,230409,桜花賞G1,ライトクオンタム,,牝,3,2,８,13,18,2阪6,芝1600,良,,8,8,1名3,芝,1600,良,5,5,5,2,１,-0.1,Ｇ３,武豊,武豊,428,0,+2, 55 , 54 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),武幸四郎,230108,シンザンG3
,230409,桜花賞G1,ブトンドール,,牝,3,16,９,4,18,2阪6,芝1600,良,,6,6,1阪A,芝,1400,良,,11,11,1,６, 0.4,Ｇ２,池添謙一,鮫島克駿,486,-8,+12, 55 , 54 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),池添学,230312,フィリーG2
,230409,桜花賞G1,エミュー,,牝,3,15,10,3,18,2阪6,芝1600,良,,13,12,2中7,芝,1800,不,16,14,11,2,１,-0.1,Ｇ３,松山弘平,Ｍ．デム,418,+4,-2, 55 , 54 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(美),和田正一,230318,フラワーG3
,230409,桜花賞G1,ラヴェル,,牝,3,10,11,17,18,2阪6,芝1600,良,,13,15,6阪4,芝,1600,良,,17,17,4,11, 1.7,Ｇ１,坂井瑠星,坂井瑠星,446,-2,-4, 55 , 54 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),矢作芳人,221211,阪神ジュG1
,230409,桜花賞G1,キタウイング,,牝,3,12,12,5,18,2阪6,芝1600,良,,16,17,1阪7,芝,1600,良,,13,11,5,７, 0.3,Ｇ２,杉原誠人,杉原誠人,432,0,0, 55 , 54 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(美),小島茂之,230304,チューリG2
,230409,桜花賞G1,モズメイメイ,,牝,3,7,13,5,18,2阪6,芝1600,良,,1,1,1阪7,芝,1600,良,,1,1,7,１,-0.0,Ｇ２,和田竜二,武豊,456,0,0, 55 , 54 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),音無秀孝,230304,チューリG2
,230409,桜花賞G1,ドゥーラ,,牝,3,8,14,5,18,2阪6,芝1600,良,,16,12,1阪7,芝,1600,良,,11,11,1,15, 1.0,Ｇ２,戸崎圭太,戸崎圭太,472,-4,+6, 55 , 54 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),高橋康之,230304,チューリG2
,230409,桜花賞G1,コンクシェル,,牝,3,14,15,4,18,2阪6,芝1600,良,,9,8,2中6,芝,1600,良,12,15,13,13,２, 0.1,OP(L),丸山元気,丸山元気,454,+2,-10, 55 , 54 ,B,B,"  ","  ","  ","  ","  ","  ","  ","  ",*,(栗),清水久詞,230312,アネモネ(L)
,230409,桜花賞G1,ジューンオレンジ,,牝,3,18,16,4,18,2阪6,芝1600,良,,16,17,1阪A,芝,1400,良,,14,13,11,３, 0.1,Ｇ２,富田暁,富田暁,440,-6,-4, 55 , 54 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),長谷川浩,230312,フィリーG2
,230409,桜花賞G1,ムーンプローブ,,牝,3,17,17,4,18,2阪6,芝1600,良,,11,12,1阪A,芝,1400,良,,9,9,7,２, 0.1,Ｇ２,北村友一,北村友一,472,+8,-6, 55 , 54 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),上村洋行,230312,フィリーG2
