Ｍ,日付,レース名,馬名S,Ｃ,性別,年齢,人気,着順,間隔,頭数,開催,距離,馬場状態,2角,3角,4角,前走開催,前芝・ダ,前距離,前走馬場状態,前2角,前3角,前4角,前走人気,前走着順,前走着差タイム,前クラス名,騎手,前騎手,馬体重,馬体重増減,前走馬体重増減,斤量,前走斤量,ブリンカー,前走B,馬印,前走馬印,馬印2,前走馬印2,馬印3,前走馬印3,馬印4,前走馬印4,多頭出し,所属,調教師,前走日付,前走レース名
,220409,阪神牝馬G2,デゼル,,牝,5,2,３,12,12,2阪5,芝1600,良,,8,8,1名5,芝,2000,良,12,11,9,6,３, 0.0,Ｇ３,川田将雅,川田将雅,484,-4,+4, 55 ,55.5,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),友道康夫,220115,愛知杯ＨG3
,220409,阪神牝馬G2,ムジカ,,牝,5,8,４,3,12,2阪5,芝1600,良,,6,6,2名3,芝,1600,稍,16,16,15,9,７, 0.4,3勝,池添謙一,武豊,452,-2,+4, 54 , 55 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),鈴木孝志,220319,豊橋Ｓ･3勝
,220409,阪神牝馬G2,マジックキャッスル,,牝,5,4,５,12,12,2阪5,芝1600,良,,10,9,1名5,芝,2000,良,13,13,13,4,９, 0.6,Ｇ３,浜中俊,ルメール,442,-10,+8, 54 , 56 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",*,(美),国枝栄,220115,愛知杯ＨG3
,220409,阪神牝馬G2,ジェラルディーナ,,牝,4,3,６,8,12,2阪5,芝1600,良,,11,11,1阪2,芝,2200,稍,11,12,11,4,４, 0.3,Ｇ２,幸英明,福永祐一,450,-4,+6, 54 , 53 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),斉藤崇史,220213,京都記念G2
,220409,阪神牝馬G2,クリスティ,,牝,5,6,７,7,12,2阪5,芝1600,良,,1,1,1阪3,芝,1400,良,,17,14,7,15, 2.2,Ｇ３,松若風馬,武豊,488,-6,+7, 54 , 55 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),杉山晴紀,220219,京都牝馬G3
,220409,阪神牝馬G2,ラルナブリラーレ,,牝,5,5,８,2,12,2阪5,芝1600,良,,3,4,2阪2,芝,1600,稍,,13,14,9,５, 0.5,OP(L),和田竜二,酒井学,478,-4,+2, 54 , 54 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),石坂公一,220327,六甲Ｓ(L)
,220409,阪神牝馬G2,テーオーラフィット,,牝,4,7,９,3,12,2阪5,芝1600,良,,3,4,2名3,芝,1600,稍,4,5,6,11,３, 0.1,3勝,岩田望来,石橋脩,482,+2,-10, 54 , 55 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),上村洋行,220319,豊橋Ｓ･3勝
,220409,阪神牝馬G2,ローレルアイリス,,牝,5,11,10,8,12,2阪5,芝1600,良,,9,9,2小2,芝,1200,稍,,6,8,7,17, 1.0,ｵｰﾌﾟﾝ,川又賢治,川又賢治,444,+2,-4, 54 , 54 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),杉山佳明,220213,北九州短
,220409,阪神牝馬G2,クリノフラッシュ,,牝,7,10,11,6,12,2阪5,芝1600,良,,2,2,川崎,ダ,2100,良,2,2,3,5,４, 0.9,Ｇ２,藤岡佑介,福永祐一,456,+7,-1, 54 , 55 ,B,,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),橋田満,220302,エンプG2
,220409,阪神牝馬G2,アカイトリノムスメ,,牝,4,,外,21,12,2阪5,芝1600,良,,,,5阪4,芝,2200,良,4,5,3,2,７, 0.5,Ｇ１,戸崎圭太,戸崎圭太,454,+2,+4, 56 , 54 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",*,(美),国枝栄,211114,エリザベG1
